orgnr,navn,orgform,ansatte,naeringskode,adresse,postnr,poststed,telefon,hjemmeside,antallUnderenheter
"932898551","CAI SOFTWARE NORWAY AS","AS","","Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer","Verftsgata 10","6416","MOLDE","","","0"
"915190375","CALI MOLDE AS","AS","","Engroshandel med andre husholdningsvarer","Linerlevegen 14A","6425","MOLDE","","","1"
"988809225","CALIDRIS AS","AS","","Dataprogrammeringstjenester","Idrettsvegen 9","6413","MOLDE","","","1"
"997587251","CAMP ARVESEN AS","AS","","Opplevelsesaktiviteter","Eresfjord","6470","ERESFJORD","","","1"
"813390272","CANASTA AS","AS","","Andre egeninvesteringsselskaper","Krohnhøgda 8","6421","MOLDE","","","1"
"985457476","CANCAM MOLDE AS","AS","","Frisering og barbering","c/o Moldetordet Torget 1","6413","MOLDE","71 25 48 14","","1"
"926875841","CAP CLARA AS","AS","","Utleie av egen eller leid fast eiendom","Storgata 9","6413","MOLDE","","","1"
"917860084","CARAMEL MOLDE AS","AS","7","Detaljhandel med innredningsartikler ikke nevnt annet sted","Romsdalsgata 5","6413","MOLDE","","","1"
"979737009","CARAT BUSINESS SYSTEMS AS","AS","","Kjøp og salg av egen fast eiendom","Sollivegen 32E","6414","MOLDE","","","0"
"933231704","CAROLUS PRIVATE TANNKLINIKK AS","AS","","Tannlegetjenester","Bjørnstjerne Bjørnsons veg 6","6412","MOLDE","","","0"
"916310536","CARRIED AWAY AS","AS","","Uoppgitt","Setervegen 23","6411","MOLDE","","","1"
"935013895","CARRY ON AS","AS","","Industri-, produkt- og motedesignvirksomhet","c/o Vilde Heggem Iversen Smievegen 2","6421","MOLDE","","","1"
"822538452","CATHRINES ALTERNATIV AS","AS","","Andre personlige tjenester ikke nevnt annet sted","Frænavegen 122","6416","MOLDE","","","1"
"922074097","CATO INNERDAL","ENK","","Annen undervisning ellers","Fuglsetvegen 8","6415","MOLDE","","","1"
"984150083","CATO SLETTEN","ENK","","Maler- og glassarbeid","Risanvegen 198","6455","KORTGARDEN","71 24 11 92","","1"
"930189723","CCK HOLDING AS","AS","","Uoppgitt","Forhjellen 27B","6411","MOLDE","","","0"
"927469251","CE'IRTH RANDLE JR DESIGNS","ENK","","Skapende kunstnerisk virksomhet innenfor litteratur","Farstadbakken 5","6414","MOLDE","","","0"
"932942917","CECILIE CREATES BERGSNES","ENK","","Fotografvirksomhet","Gjerdhaugvegen 13","6425","MOLDE","","","1"
"918872671","CEES SPIL","ENK","","Snekkerarbeid","Bastian Widths gate 6","6415","MOLDE","","","1"
"921643489","CHAGEN INVEST AS","AS","","Uoppgitt","Bjønnan 35","6410","MOLDE","","","0"
"896442562","CHANGE ENTHUSIASM BY RANDI NÆSS","ENK","","Annen utøvende kunstnerisk virksomhet og underholdningsvirksomhet ikke nevnt annet sted","Hagavegen 1","6450","HJELSET","","","0"
"830555072","CHARLOTT KNUTSEN","ENK","","Dyrking av flerårige vekster ellers","Lunheimvegen 10","6416","MOLDE","","","1"
"836782992","CHARLOTTE LERVIK","ENK","","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster","Nesoddvegen 10","6475","MIDSUND","","","1"
"925592064","CHARTER YACHTS AS","AS","","Utleie og leasing av sports- og fritidsutstyr","Romsdalsgata 16","6415","MOLDE","","","1"
"996434745","CHAYENNE AS","AS","","Utleie av egen eller leid fast eiendom","Prestegardsskogen 19","6420","MOLDE","","","1"
"923581847","CHERRY VIC CANGMAONG OPSTAD","ENK","","Rengjøring av bygninger","Jordbærvegen 31","6421","MOLDE","","","0"
"925449830","CHEVAL DE NORVÈGE - FRØYEN","ENK","","Detaljhandel med bredt vareutvalg ellers","Rødvegen 87","6460","EIDSVÅG I ROMSDAL","","","1"
"974353547","CHRISTIE NORDANG AS","AS","190","Oppføring av bygninger","Grandfjæra 22A","6415","MOLDE","71 20 31 00","www.christie.no","1"
"918524819","CHRISTIE NORDANG UTVIKLING AS","AS","","Oppføring av bygninger","Grandfjæra 22A","6415","MOLDE","","","0"
"920059724","CHRISTINE RISHAUG","ENK","","Undervisning innenfor idrett og rekreasjon","Sollivegen 28D","6414","MOLDE","","","1"
"932071592","CHRISTOPHER GJØEN","ENK","","Produksjon og utgivelse av musikk- og lydopptak","c/o Christopher Gjøen Skrenten 16D","6411","MOLDE","","","1"
"998619408","CINDERELLA ECO GROUP AS","AS","","Produksjon av byggevarer av plast","Sjøvikvegen 67","6475","MIDSUND","77 71 15 00","www.cinderellaeco.com","1"
"944069585","CINDERELLA TECHNOLOGY AS","AS","","Annen teknisk konsulentvirksomhet","Sjøvikvegen 67","6475","MIDSUND","71 27 02 00","","2"
"886871902","CIVA AS","AS","","Engroshandel med informasjons- og kommunikasjonsteknologiutstyr","Kråkholmvegen 20","6460","EIDSVÅG I ROMSDAL","","www.civa.no","1"
"992741376","CLASSIC NORWAY EIENDOM AS","AS","","Utleie av egen eller leid fast eiendom","Nøisomhed","6405","MOLDE","71 20 22 00","","1"
"927538989","CLASSIC NORWAY HOLDING AS","AS","","Drift av hoteller","Fannestrandvegen 125","6419","MOLDE","","","0"
"937735979","CLIENTRELAY TECHNOLOGIES AS","AS","","Dataprogrammeringstjenester","Boråsvegen 49","6415","MOLDE","","","1"
"935893267","CLNT AS","AS","","Detaljhandel med informasjons- og kommunikasjonsteknologiutstyr","Gamle Årødalsvegen 2","6421","MOLDE","","","1"
"936986676","CLAASSENS CONSULTING","ENK","","Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer","c/o Dennis Claassens Bjørkfinkvegen 14","6425","MOLDE","","","1"
"996427641","CML INVEST AS","AS","","Utleie av egen eller leid fast eiendom","Skoglia 10","6421","MOLDE","","","1"
"926768417","COACH DANIELSEN","ENK","","Undervisning innenfor idrett og rekreasjon","c/o Tore Danielsen Torleifvegen 7A","6416","MOLDE","","","0"
"912443345","COB HOLDING AS","AS","","Oppføring av bygninger","Mårvegen 14","2211","KONGSVINGER","","","0"
"918653031","COBO AS","AS","","Utleie av egen eller leid fast eiendom","Årøsetervegen 30","6422","MOLDE","","www.cobo.no","1"
"929940709","CODA GRAVEM","ENK","","Detaljhandel med klær","Langmyrvegen 20A","6413","MOLDE","","","0"
"991081674","COFFEE AS","AS","","Annen teknisk konsulentvirksomhet","Grandfjæra 20","6415","MOLDE","71 20 11 00","","1"
"937493010","COMPLICATED PRODUCTIONS AS","AS","","Produksjon av film, video og fjernsynsprogrammer","Myrvegen 33","6421","MOLDE","","complicated.productions","1"
"988039144","CONAWI AS","AS","","Annen teknisk konsulentvirksomhet","Raknesvegen 60","6475","MIDSUND","","www.conawi.no","1"
"927281716","CONNOR MAT AS","AS","","Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler","Bekkevollvegen 18","6414","MOLDE","","","0"
"934066340","CONRAD JAMES MCLEAN","ENK","","Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor scenekunst","Hans Thiis Møllers gate 4","6415","MOLDE","","","1"
"930371467","CORNELIA FISCHER","ENK","","Privatundervisning","Frænavegen 443","6423","MOLDE","","","1"
"933118800","CORNER NORWAY AS","AS","","Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer","Storgata 9","6413","MOLDE","","","1"
"919059362","CORRON AS","AS","","Dataprogrammeringstjenester","Grandfjæra 20","6415","MOLDE","","","1"
"912583473","CORUM HOLDING AS","AS","","Bedriftsrådgivning og annen administrativ rådgivning","Hungnesvegen 24","6450","HJELSET","","","1"
"837459672","COTOBATO HOLDING AS","AS","","Uoppgitt","Røbekklia 25","6420","MOLDE","","","1"
"933231615","CPT HOLDING AS","AS","","Tannlegetjenester","Statsråd Astrups gate 5","6413","MOLDE","","","1"
"918901361","CREMA COLLECTIVE BY SANDVIK","ENK","","Detaljhandel med elektriske husholdningsapparater","Jordbærvegen 31","6421","MOLDE","","Cremacollective.no","1"
"925293105","CROSSCONSULT AS","AS","","Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer","c/o Stian Sundsbø Solbakken 17G","6429","MOLDE","","","1"
"934231074","CTV INVEST AS","AS","","Uoppgitt","Bokfinkvegen 16","6425","MOLDE","","","1"
"980646653","CUMULUS AS","AS","","Eiendomsforvaltning på oppdrag","Grandfjæra 28","6415","MOLDE","71 25 94 10","","1"
"928075141","CUTCO AS","AS","","Industri-, produkt- og motedesignvirksomhet","Kråkholmvegen 20","6460","EIDSVÅG I ROMSDAL","","","1"
"933959236","CXY AS","AS","","Dataprogrammeringstjenester","Bokfinkvegen 23C","6425","MOLDE","","","1"
"922020922","D-RÅD AS","AS","","Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer","Vågsetervegen 20","6456","SKÅLA","","","1"
"934501861","D.BUGGE HOLDING AS","AS","","Uoppgitt","Raudsandvegen 402","6462","RAUDSAND","","","1"
"936485235","DAGB 2 AS","AS","","Uoppgitt","c/o Dag Brunvoll Øverbøen 43","6411","MOLDE","","","1"
"914547482","DAGB AS","AS","","Utleie av egen eller leid fast eiendom","c/o Dag Brunvoll Øverbøen 43","6411","MOLDE","","","1"
"936902618","DAGDRAUM AS","AS","","Uoppgitt","Gjerdhaugvegen 13","6425","MOLDE","","","1"
"933030032","DAGOBAH AS","AS","","Bedriftsrådgivning og annen administrativ rådgivning","Julsundvegen 111B","6410","MOLDE","","","1"
"989092286","DAHL EIENDOM MOLDE AS","AS","","Utleie av egen eller leid fast eiendom","Storgata 29","6413","MOLDE","","","1"
"980885291","DAHL INVEST AS","AS","","Utleie av egen eller leid fast eiendom","Storgata 29","6413","MOLDE","71 20 55 00","","0"
"926315668","DAHL SMÅGE FRILANS TEKSTFORFATTER","ENK","","Skapende kunstnerisk virksomhet innenfor litteratur","Hauglegda 6","6416","MOLDE","","","0"
"922239533","DAHL SPESIALISTHELSETJENESTER","ENK","","Spesialiserte legetjenester, unntatt psykiatriske legetjenester","Måltrostvegen 19","6425","MOLDE","","","0"
"918004904","DAHL TRADE","ENK","","Andre personlige tjenester ikke nevnt annet sted","Moldelivegen 20","6413","MOLDE","","","1"
"924389907","DALATI DAIRY AS","AS","6","Produksjon av meierivarer","Bokfinkvegen 46","6425","MOLDE","","","1"
"988731013","DALEN EIENDOM MOLDE AS","AS","","Andre egeninvesteringsselskaper","c/o Bakehuset Molde AS Skålavegen 5","6422","MOLDE","71 11 51 00","","0"
"969260581","DALEN PER MAGNE","ENK","","Melkeproduksjon på storfe og oppdrett av melkekyr","Ljøstaråket 5","6460","EIDSVÅG I ROMSDAL","","","1"
"935849586","DALHEIM","ENK","","Geitehold","Fannefjordsvegen 797","6450","HJELSET","","","1"
"995356864","DALHEIMS","ENK","","Andre helsetjenester ellers","Fannefjordsvegen 745","6421","MOLDE","","www.dalheims.com","0"
"964622825","DALSBØ AS","AS","","Regnskapsføring og bokføring","Torget 4","6413","MOLDE","71 20 02 88","www.dalsbo.no","1"
"919499974","DALSBØ REGNSKAP AS","AS","5","Regnskapsføring og bokføring","Storgata 9","6413","MOLDE","","","1"
"970383379","DALSENG GEIR OLAV","ENK","","Oppføring av bygninger","Lingedalsvegen 19B","6415","MOLDE","","","1"
"879636892","DAM Knut Erik Sørseth","ENK","","Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer","Solbakken 6","6429","MOLDE","","","1"
"997788419","DANAVATI KINE BERTHEUSSEN ISACHSEN","ENK","","Undervisning innenfor idrett og rekreasjon","Moldelivegen 26","6413","MOLDE","","","0"
"934137477","DANCKERT KROHN AS","AS","","Utleie av egen eller leid fast eiendom","Røysan 17B","6412","MOLDE","","","1"
"989367188","DANNEVIG FYSIOTERAPI","ENK","","Fysioterapi- og ergoterapitjenester","Torleifvegen 1","6416","MOLDE","71 25 16 26","","0"
"923330364","DANSEKUNSTNER INGRID DRAGESETH","ENK","","Annen undervisning innenfor kultur","Bjørnstjerne Bjørnsons veg 136A","6410","MOLDE","","","0"
"924049073","DAYTRIPPERMORDAL STIAN MORDAL","ENK","","Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk","Prestegardsskogen 19","6420","MOLDE","","","0"
"937347197","DDP HOLDING AS","AS","","Uoppgitt","Nakkvegen 24","6455","KORTGARDEN","","","1"
"936328954","DE WOLF VILLSAUKONGEN","ENK","","Sauehold","Utsidevegen 1333","6475","MIDSUND","","","1"
"917869669","DEKKIMPORT NORGE AS","AS","","Agenturhandel med spesialisert vareutvalg ellers","Årøsetervegen 1","6422","MOLDE","","","1"
"982553164","DEKKSENTRUM AS","AS","","Detaljhandel med deler og utstyr til motorvogner","Årøseterveien 1","6422","MOLDE","71 25 09 60","","0"
"917869782","DEKKSERVICE AS","AS","17","Detaljhandel med deler og utstyr til motorvogner","Årøsetervegen 1","6422","MOLDE","","","1"
"916196210","DESIGN BY THINN LINDA MARGRETE LEINE THINN","ENK","","Grafisk design og visuell kommunikasjonsdesign","Sollivegen 90","6414","MOLDE","","designbythinn.com","0"
"928454061","DESIGN BY TORUNN RØRHUS","ENK","","Dataprogrammeringstjenester","Bergmovegen 12","6419","MOLDE","","","1"
"924325003","DESIGNFOREVIG NETTBUTIKK AS","AS","","Detaljhandel med innredningsartikler ikke nevnt annet sted","2. etg Storgata 52","6413","MOLDE","","","1"
"982100313","DESIGNKOMPANIET Pål Austnes","ENK","","Industri-, produkt- og motedesignvirksomhet","Øverbøen 37","6411","MOLDE","","","1"
"991802584","DET GODE LIV Brit Polden","ENK","","Aktiviteter innenfor tradisjonell, komplementær og alternativ medisin","","6462","RAUDSAND","","","0"
"937782233","DET NOBLE HUS AS","AS","","Dataprogrammeringstjenester","Øverlandsvegen 32","6416","MOLDE","","","1"
"919713283","DET SOLRIKE HUSET AS","AS","7","Rengjøring av bygninger","Grandvegen 12","6415","MOLDE","","","1"
"929392558","DETALJ EIENDOM AS","AS","","Utleie av egen eller leid fast eiendom","Nøisomhed Fannestrandvegen 125","6419","MOLDE","","","1"
"914609453","DEVA YOGA INSTITUTE AS","AS","","Undervisning innenfor idrett og rekreasjon","Årølivegen 19","6421","MOLDE","","","1"
"915719813","DF. ULVESTAD","ENK","","Tjenester tilknyttet planteproduksjon","Hamnavikvegen 71","6456","SKÅLA","","","1"
"988914770","DID AS","AS","10","Aktiviteter utført av utflukts- og eventarrangører","Fannefjordsvegen 118","6421","MOLDE","","www.didadventure.no","1"
"922572402","DIGITAL SYNERGI AS","AS","","Uoppgitt","Eikremsvingen 9","6422","MOLDE","","","0"
"913088115","DIGITAL TRACE NORWAY AS","AS","","Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer","c/o Sparebank1 Regnskapshuset Fannestrandvegen 55","6415","MOLDE","","www.tra-ce.com","1"
"819024782","DIGIVIKA AS","AS","","Dataprogrammeringstjenester","Øverbygda 150","6450","HJELSET","","","0"
"920873685","DIN PROSJEKTSTØTTE AS","AS","","Byggeteknisk konsulentvirksomhet","Istadvegen 667","6453","KLEIVE","","","0"
"930349712","DIN VIKAR BJERKESET","ENK","","Bedriftsrådgivning og annen administrativ rådgivning","Fuglsetvegen 6","6415","MOLDE","","","1"
"930223174","DIVINENORDIC - MONICA GUSDAL","ENK","","Andre helsetjenester ellers","Arnes veg 51C","6429","MOLDE","","","0"
"832156302","DJ THO","ENK","","Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk","Holvegen 6","6414","MOLDE","","","1"
"897814072","DJUPDALEN HOLDING AS","AS","","Utleie av egen eller leid fast eiendom","c/o GH-Bolig AS Glomstuvegen 4B","6412","MOLDE","","","0"
"997875850","DJUPDALEN PANORAMA AS","AS","","Utleie av egen eller leid fast eiendom","Glomstuvegen 4B","6412","MOLDE","","","0"
"982749670","DJUPDALSVEGEN EIENDOM AS","AS","","Utleie av egen eller leid fast eiendom","Djupdalsvegen 13","6411","MOLDE","71 25 49 89","","1"
"933539105","DOCINV AS","AS","","Dataprogrammeringstjenester","Grønnesvegen 104","6456","SKÅLA","","","1"
"932529033","DOKKA MEDIA","ENK","","Produksjon av film, video og fjernsynsprogrammer","Grandfjæra 10","6415","MOLDE","","","0"
"927211610","DOMBÅS BUTIKKEIENDOM AS","AS","","Utleie av egen eller leid fast eiendom","Fannestrandvegen 125","6419","MOLDE","","","0"
"935636868","DOROKHOVA HÅRLYS","ENK","","Frisering og barbering","Fagerlivegen 32B","6414","MOLDE","","","1"
"993847933","DR DANIEL DUE-TØNNESSEN","ENK","","Allmennlegetjenester","Legekontoret Fem Faste Verftsgata 10","6416","MOLDE","","","1"
"928140180","DR. ANDVIG","ENK","","Spesialiserte legetjenester, unntatt psykiatriske legetjenester","Sivertvegen 17","6414","MOLDE","","","0"
"911883953","DR. DAHLBERG","ENK","","Allmennlegetjenester","Løvsangervegen 26","6425","MOLDE","","","0"
"914933226","DR. ELLEN SÆTTEM","ENK","","Allmennlegetjenester","Moldelivegen 32","6413","MOLDE","","","1"
"934970160","DR. GRØNNEBERG","ENK","","Allmennlegetjenester","Nordskogvegen 4C","6412","MOLDE","","","1"
"928728404","DR. MATIAS URKE MYKLEBUST","ENK","","Allmennlegetjenester","c/o Matias Urke Myklebust Glomstuvegen 16","6412","MOLDE","","","0"
"930034487","DR. SHAHERA ELISE JACOBSEN","ENK","","Allmennlegetjenester","c/o Shahera Elise Jacobsen Amtmann Leths gate 33","6413","MOLDE","","","1"
"912491072","DR. SIGNE HJORTH","ENK","","Allmennlegetjenester","Fasanvegen 12A","6416","MOLDE","","","0"
"927439751","DR. SKONTORP HELSEPRAKSIS","ENK","","Allmennlegetjenester","Lønsetbakken 10","6421","MOLDE","","","1"
"922829640","DRABLØS HOLDING AS","AS","","Spesialiserte legetjenester, unntatt psykiatriske legetjenester","c/o Christopher Wiig Bolignummer 301 Fløtmannsgata 2","6413","MOLDE","","","0"
"921505256","DRAGET GÅRD ANS","ANS","","Sauehold","Dragetvegen 175","6457","BOLSØYA","","","1"
"911634325","DRAGSETH ENERGICONSULT","ENK","","Byggeteknisk konsulentvirksomhet","Fuglsetvegen 6","6415","MOLDE","","","1"
"935786614","DRIFTA AS","AS","","Eiendomsforvaltning på oppdrag","Einar O. Bergs veg 14B","6423","MOLDE","","","1"
"836350952","DRONEX AS","AS","","Annen teknisk konsulentvirksomhet","Jevikråket 3","6460","EIDSVÅG I ROMSDAL","","","1"
"932858959","DRYHA IRYNA BEAUTY","ENK","","Skjønnhetspleie","Sagrøra 15","6420","MOLDE","","","1"
"994517406","DRØNNEN GARD AS","AS","","Utleie av egen eller leid fast eiendom","Drynasundshaug","6475","MIDSUND","","","1"
"928272575","DSG HOLDING AS","AS","","Uoppgitt","C/O Dag Sverre Grønmyr Snarvegen 3","6414","MOLDE","","","0"
"833725912","DUBHE AS","AS","","Dataprogrammeringstjenester","Birger Hatlebakks veg 26","6415","MOLDE","","","1"
"993107360","DVERGSMEDEN HARHOLT","ENK","","Uspesifisert engroshandel","Øvervegen 317","6460","EIDSVÅG I ROMSDAL","","","1"
"963011121","DYKKERSERVICE Mauseth","ENK","","Formidlingstjenester tilknyttet detaljhandel med spesialisert vareutvalg","Bergmovegen 3","6419","MOLDE","","","1"
"987271930","DYNAMIT REKLAME ANS","ANS","","Reklamebyråvirksomhet","Storgata 23","6413","MOLDE","71 25 50 80","","0"
"929374983","DYRLEGEN HOLDING AS","AS","","Veterinærtjenester","Arnes veg 8A","6429","MOLDE","","","0"
"929853318","DYRLEGEN I MOLDE AS","AS","","Veterinærtjenester","Arnes veg 8A","6429","MOLDE","","","1"
"921664753","DYRLEGENE MOE OG RØYRVIK AS","AS","7","Veterinærtjenester","Fabrikkvegen 13","6415","MOLDE","","","1"
"933548422","DYRLID MULTISERVICE","ENK","","Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer","Dragetvegen 155","6457","BOLSØYA","","","1"
"911564890","DYRSETH HOLDING","ENK","","Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk","Romsdalsgata 9","6415","MOLDE","","","0"
"920064523","DYVIK","ENK","","Sauehold","Jordfall Åsagardvegen 117","6460","EIDSVÅG I ROMSDAL","41 06 64 53","","0"
"828806742","E ØSTIGÅRD AS","AS","","Utleie av arbeidskraft og andre personaladministrative tjenester","Stølhaugvegen 3","6475","MIDSUND","","","1"
"925906123","E-PE AS","AS","","Uoppgitt","c/o Eyvind Pettersson Reinhold Zieglers veg 1B","6414","MOLDE","","","0"
"932922606","E. H. FAGERLIE","ENK","","Reparasjon og vedlikehold av maskiner","Småskogan 8","6453","KLEIVE","","","1"
"912399818","E. K. HANSEN EFTF. AS","AS","","Uoppgitt","C/O Øyvind Aasgård Lillevikvegen 9","6412","MOLDE","","","1"
"989057499","E. SANDØY AS","AS","","Produksjon av plater, film, rør og profiler av plast","Vonheimvegen 1","6415","MOLDE","","","0"
"918329781","E.R. DOLMEN INVEST AS","AS","","Andre egeninvesteringsselskaper","Rødstrupevegen 22","6425","MOLDE","","","0"
"987664274","E2 MOLDE AS","AS","","Utleie av egen eller leid fast eiendom","Nøisomhed","6405","MOLDE","71 20 22 00","","0"
"917373434","E2 SOFTWARE AS","AS","","Uoppgitt","Sandvegen 5","6413","MOLDE","","www.e2as.no","0"
"917996032","EASYFIT MOLDE AS","AS","","Treningssentervirksomhet","Lingedalsvegen 6","6415","MOLDE","","","1"
"986733361","EASYHOST DA","DA","","Datainfrastruktur, -behandling, -lagring og tilknyttede tjenester","","6475","MIDSUND","92 64 67 00","www.easyhost.no","0"
"916316194","EB KAPITAL AS","AS","","Andre egeninvesteringsselskaper","Årøhagen 2","6422","MOLDE","","","0"
"983672876","EBG ENTREPRENØR AS","AS","","Bygging av vann- og kloakkanlegg","Bjørsetsletta 3","6410","MOLDE","71 25 39 76","","0"
"925808628","EBIT EIENDOM AS","AS","","Utleie av egen eller leid fast eiendom","Storgata 11","6413","MOLDE","","","1"
"985351724","ECOXY AS","AS","11","Teknisk prøving og analyse","Julsundvegen 4","6412","MOLDE","","","1"
"979384297","EDBCONSULT ANS","ANS","","Detaljhandel med informasjons- og kommunikasjonsteknologiutstyr","Svahellaveien 10","8149","NEVERDAL","","","0"
"980670791","EDDIE FLATMO REKDAL AS","AS","","Revisjon","Hatlehaugvegen 8","6414","MOLDE","71 21 88 67","","1"
"934554124","EDDIK OG ELEGANSE AS","AS","","Uoppgitt","Dragarøra 4","6457","BOLSØYA","","","1"
"925206504","EDVARD SKÅLAND UNDERVISNING","ENK","","Skapende kunstnerisk virksomhet innenfor litteratur","Boråsvegen 21","6415","MOLDE","","","1"
"828905252","EDVIN BUGGE","ENK","","Annen teknisk konsulentvirksomhet","Boggestranda 450","6460","EIDSVÅG I ROMSDAL","","","1"
"921211589","EDWEST AS","AS","16","Oppføring av bygninger","Enenvegen 3","6416","MOLDE","","","1"
"937303009","EFFEKTIV REGNSKAP AS","AS","","Bedriftsrådgivning og annen administrativ rådgivning","Boråsvegen 49","6415","MOLDE","","","1"
"918703284","EFFEKTIV SERVISE ROMSDAL AS","AS","","Rengjøring av bygninger","Kvilarvegen 17","6421","MOLDE","","","1"
"965047433","EGIL ARNE TORHUS","ENK","","Innenriks sjøfart med gods","Parkvegen 68C","6412","MOLDE","71 25 13 33","","0"
"982831237","EGIL MAGNE HAMMERVOLD","ENK","","Sauehold","Ljøsmyrvegen 55","6460","EIDSVÅG I ROMSDAL","","","1"
"990453721","EGIL STEINAR NERLAND","ENK","","Reparasjon og vedlikehold av maskiner","Olav Oksviks veg 12","6423","MOLDE","71 21 16 10","","1"
"918722122","EGILS SNEKKERTJENESTER MYKLEBUST","ENK","","Snekkerarbeid","c/o Egil Myklebust Bjørnstjerne Bjørnsons veg 153","6410","MOLDE","","","1"
"931395807","EGITA SPROGE SVØMMEOPPLÆRING","ENK","","Undervisning innenfor idrett og rekreasjon","Årømyran 78","6421","MOLDE","","","1"
"935266858","EH19 HOLDING AS","AS","","Uoppgitt","Parkvegen 26","6413","MOLDE","","","1"
"937046820","EHES HOLDING AS","AS","","Uoppgitt","Cecilienfrydvegen 42","6412","MOLDE","","","1"
"926364979","EIDE FERIEHUS","ENK","","Drift av vandrerhjem og ferieleiligheter","Einebæråsen 22","6429","MOLDE","","","0"
"932931591","EIDE SERVICEBUD","ENK","","Andre post- og budtjenester","Statsråd Astrups gate 9","6413","MOLDE","","","1"
"955528581","EIDHAMAR & KLEIVENES","DA","","Detaljhandel med bredt vareutvalg ellers","Skoglia 1","6421","MOLDE","71244457","","0"
"923876995","EIDSVÅG BIL MELSAETER","ENK","","Detaljhandel med motorvogner","Stubøvegen 51A","6460","EIDSVÅG I ROMSDAL","","","0"
"970980539","EIDSVÅG EIENDOMSELSKAP AS","AS","","Utleie av egen eller leid fast eiendom","Eidsvåg sentrum Kråkholmvegen 8","6460","EIDSVÅG I ROMSDAL","","","1"
"914379326","EIDSVÅG FAGSENTER AS","AS","","Utvikling og salg av byggeprosjekter","Kråkholmvegen 46","6460","EIDSVÅG I ROMSDAL","","","1"
"996220982","EIDSVÅG FJORDHOTELL AS","AS","","Utleie av arbeidskraft og andre personaladministrative tjenester","Prestegardsvegen 116","6460","EIDSVÅG I ROMSDAL","","","1"
"937201508","EIDSVÅG MAT AS","AS","12","Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler","","6460","EIDSVÅG I ROMSDAL","71 23 26 50","","1"
"918727094","EIDSVÅG PIZERIA ANI VESELINOVA KANCHEVA","ENK","","Drift av restauranter","Eidsvågvegen 50","6460","EIDSVÅG I ROMSDAL","","","1"
"933377806","EIDSVÅG THAI TAKEAWAY. EGIL SVENSLI","ENK","","Catering for arrangementer","Eidsvågvegen 27","6460","EIDSVÅG I ROMSDAL","","","1"
"931621068","EIDSVÅGVEGEN 74 AS","AS","","Utleie av egen eller leid fast eiendom","Sjølaupet 8","6460","EIDSVÅG I ROMSDAL","","","1"
"989475231","EIDSØRA INVEST AS","AS","","Annen teknisk konsulentvirksomhet","Eidsøra","6460","EIDSVÅG I ROMSDAL","","","1"
"948174944","EIENDOMSSELSKAPET TORGET 1 ANS","ANS","","Utleie av egen eller leid fast eiendom","Torget 1","6413","MOLDE","","","0"
"961049695","EIENDOMSSELSKAPET TYREN AS","AS","","Utleie av egen eller leid fast eiendom","Sandvegen 9","6413","MOLDE","","","1"
"969153467","EIK ERLING","ENK","","Avvirkning","Håkon Herdebreis veg 635","6418","SEKKEN","","","0"
"987655747","EIKESDALEN ALPINANLEGG AS","AS","","Dataprogrammeringstjenester","c/o Øyvind Lillebostaad Saeter","6472","EIKESDAL","0046707980740","www.eikesdalalpin.no","1"
"934399315","EIKREM DIGITAL","ENK","","Detaljhandel med bredt vareutvalg ellers","Frænavegen 65B","6415","MOLDE","","","1"
"951805599","EIKREM EIENDOM AS","AS","","Utleie av egen eller leid fast eiendom","Langmyrvegen 15","6413","MOLDE","","","1"
"817130402","EIKREM FOTO & VIDEO","ENK","","Fotografvirksomhet","Bjørsetbovegen 9","6410","MOLDE","","","1"
"989308114","EIKREM NÆRINGSPARK AS","AS","","Utvikling og salg av byggeprosjekter","Fannestrandvegen 125","6419","MOLDE","71 20 22 00","","1"
"996668185","EIKREM UTBYGGING AS","AS","","Utvikling og salg av byggeprosjekter","","6402","MOLDE","","","1"
"913224663","EIKREM UTBYGGING II AS","AS","","Utvikling og salg av byggeprosjekter","Strandgata 5","6415","MOLDE","","","0"
"890923852","EIKREMSVINGEN 4 AS","AS","","Utleie av egen eller leid fast eiendom","Eikremsvingen 4","6422","MOLDE","71 11 53 83","","1"
"995139170","EIKREMSVINGEN 9 AS","AS","","Utleie av egen eller leid fast eiendom","Eikremsvingen 9","6422","MOLDE","","","1"
